Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,SE_A04001_001,SE_A04001_002,SE_A04001_003,SE_A04001_004,SE_A04001_005,SE_A04001_006,SE_A04001_007,SE_A04001_008,SE_A04001_009,SE_A04001_010,SE_A04001_011,SE_A04001_012,SE_A04001_013,SE_A04001_014,SE_A04001_015,SE_A04001_016,SE_A04001_017,SE_A14006_001,SE_A10060_001,SE_A10060_002,SE_A10060_003
47157010820,14000US47157010820,"Census Tract 108.20, Shelby County, Tennessee","Census Tract 108.20, Shelby County, Tennessee",tn,140,0,ACSSF,8130,,,,,47,157,,,,10820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4301,4116,830,3286,0,0,0,0,0,185,0,10,0,0,0,175,0,48183,1577,1253,324
47157010900,14000US47157010900,"Census Tract 109, Shelby County, Tennessee","Census Tract 109, Shelby County, Tennessee",tn,140,0,ACSSF,8131,,,,,47,157,,,,10900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2602,2542,316,2212,0,14,0,0,0,60,19,0,0,0,0,41,0,28393,1012,485,527
47157011010,14000US47157011010,"Census Tract 110.10, Shelby County, Tennessee","Census Tract 110.10, Shelby County, Tennessee",tn,140,0,ACSSF,8132,,,,,47,157,,,,11010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4344,3646,1104,2542,0,0,0,0,0,698,93,0,0,0,0,605,0,29350,1595,1201,394
47157011020,14000US47157011020,"Census Tract 110.20, Shelby County, Tennessee","Census Tract 110.20, Shelby County, Tennessee",tn,140,0,ACSSF,8133,,,,,47,157,,,,11020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1767,1566,19,1439,10,0,0,0,98,201,172,0,0,0,0,0,29,31033,701,174,527
47157020100,14000US47157020100,"Census Tract 201, Shelby County, Tennessee","Census Tract 201, Shelby County, Tennessee",tn,140,0,ACSSF,8134,,,,,47,157,,,,20100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9038,9038,5117,3633,46,74,0,0,168,0,0,0,0,0,0,0,0,43226,2539,1876,663
47157020210,14000US47157020210,"Census Tract 202.10, Shelby County, Tennessee","Census Tract 202.10, Shelby County, Tennessee",tn,140,0,ACSSF,8135,,,,,47,157,,,,20210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5280,5036,3324,1382,109,148,0,0,73,244,153,0,0,0,0,91,0,48672,2101,1446,655
47157020221,14000US47157020221,"Census Tract 202.21, Shelby County, Tennessee","Census Tract 202.21, Shelby County, Tennessee",tn,140,0,ACSSF,8136,,,,,47,157,,,,20221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2467,2320,1697,508,0,106,0,0,9,147,131,0,0,0,0,7,9,58750,991,718,273
47157020222,14000US47157020222,"Census Tract 202.22, Shelby County, Tennessee","Census Tract 202.22, Shelby County, Tennessee",tn,140,0,ACSSF,8137,,,,,47,157,,,,20222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3094,2922,1787,957,0,43,0,33,102,172,98,0,0,0,0,74,0,52963,970,722,248
47157020300,14000US47157020300,"Census Tract 203, Shelby County, Tennessee","Census Tract 203, Shelby County, Tennessee",tn,140,0,ACSSF,8138,,,,,47,157,,,,20300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5484,5138,3827,900,33,0,72,0,306,346,327,0,0,0,0,19,0,37203,2263,1263,1000
47157020400,14000US47157020400,"Census Tract 204, Shelby County, Tennessee","Census Tract 204, Shelby County, Tennessee",tn,140,0,ACSSF,8139,,,,,47,157,,,,20400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1919,1829,1071,734,0,24,0,0,0,90,70,20,0,0,0,0,0,49444,406,0,406
47157020511,14000US47157020511,"Census Tract 205.11, Shelby County, Tennessee","Census Tract 205.11, Shelby County, Tennessee",tn,140,0,ACSSF,8140,,,,,47,157,,,,20511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2065,2019,279,1740,0,0,0,0,0,46,10,11,0,0,0,25,0,39522,815,706,109
47157020512,14000US47157020512,"Census Tract 205.12, Shelby County, Tennessee","Census Tract 205.12, Shelby County, Tennessee",tn,140,0,ACSSF,8141,,,,,47,157,,,,20512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5022,4976,937,3945,0,94,0,0,0,46,46,0,0,0,0,0,0,31121,2194,693,1501
47157020521,14000US47157020521,"Census Tract 205.21, Shelby County, Tennessee","Census Tract 205.21, Shelby County, Tennessee",tn,140,0,ACSSF,8142,,,,,47,157,,,,20521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3746,3629,459,3150,20,0,0,0,0,117,89,28,0,0,0,0,0,21491,1233,527,706
47157020522,14000US47157020522,"Census Tract 205.22, Shelby County, Tennessee","Census Tract 205.22, Shelby County, Tennessee",tn,140,0,ACSSF,8143,,,,,47,157,,,,20522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8493,8256,763,7445,19,0,0,0,29,237,86,0,0,0,0,151,0,34328,2773,1613,1160
47157020530,14000US47157020530,"Census Tract 205.30, Shelby County, Tennessee","Census Tract 205.30, Shelby County, Tennessee",tn,140,0,ACSSF,8144,,,,,47,157,,,,20530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11259,10216,2767,7387,0,0,0,62,0,1043,381,0,37,0,0,625,0,45335,3803,2781,1022
47157020541,14000US47157020541,"Census Tract 205.41, Shelby County, Tennessee","Census Tract 205.41, Shelby County, Tennessee",tn,140,0,ACSSF,8145,,,,,47,157,,,,20541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5320,5198,2029,3159,10,0,0,0,0,122,0,0,0,0,0,49,73,49515,1765,1346,419
47157020542,14000US47157020542,"Census Tract 205.42, Shelby County, Tennessee","Census Tract 205.42, Shelby County, Tennessee",tn,140,0,ACSSF,8146,,,,,47,157,,,,20542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5160,4932,1418,3459,0,0,0,0,55,228,0,13,0,0,0,215,0,28882,2081,398,1683
47157020610,14000US47157020610,"Census Tract 206.10, Shelby County, Tennessee","Census Tract 206.10, Shelby County, Tennessee",tn,140,0,ACSSF,8147,,,,,47,157,,,,20610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4485,4326,1756,2422,11,59,0,0,78,159,159,0,0,0,0,0,0,43438,1703,635,1068
47157020621,14000US47157020621,"Census Tract 206.21, Shelby County, Tennessee","Census Tract 206.21, Shelby County, Tennessee",tn,140,0,ACSSF,8148,,,,,47,157,,,,20621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7644,7337,3301,3705,13,61,0,49,208,307,86,31,17,0,0,173,0,47258,2935,1450,1485
47157020622,14000US47157020622,"Census Tract 206.22, Shelby County, Tennessee","Census Tract 206.22, Shelby County, Tennessee",tn,140,0,ACSSF,8149,,,,,47,157,,,,20622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3906,3755,3198,391,0,0,0,132,34,151,0,0,0,0,0,151,0,58906,1512,976,536
47157020631,14000US47157020631,"Census Tract 206.31, Shelby County, Tennessee","Census Tract 206.31, Shelby County, Tennessee",tn,140,0,ACSSF,8150,,,,,47,157,,,,20631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8249,8205,7628,443,0,96,0,0,38,44,10,0,0,0,0,8,26,66117,2962,2790,172
47157020632,14000US47157020632,"Census Tract 206.32, Shelby County, Tennessee","Census Tract 206.32, Shelby County, Tennessee",tn,140,0,ACSSF,8151,,,,,47,157,,,,20632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5713,5694,5220,357,0,90,0,0,27,19,8,0,0,0,0,11,0,69904,1798,1712,86
47157020641,14000US47157020641,"Census Tract 206.41, Shelby County, Tennessee","Census Tract 206.41, Shelby County, Tennessee",tn,140,0,ACSSF,8152,,,,,47,157,,,,20641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16651,15543,10281,4413,30,464,0,0,355,1108,932,86,0,0,0,90,0,75000,5676,5044,632
