AggTypeName,AggValueCode,AggValueName,PropertyTypeName,DateYyyyMm,PriceTier1,PriceTier3,PriceTier5,HPISA,HPINorm2000,yyyymm,hpi
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201010,24521,86645,247291,80991,57.582833838553896,201010,80991
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201011,24372,85385,246264,80790.7,56.977793426669777,201011,80790.7
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201012,24197,84509,245211,80381.2,56.447651541108442,201012,80381.2
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201101,23882,82934,242314,79735.7,55.545860179584885,201101,79735.7
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201102,23680,81883,240419,79001.2,54.974961450346349,201102,79001.2
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201103,23841,81792,240938,78691.1,55.059698245905487,201103,78691.1
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201104,24130,82563,243081,78698.3,55.636039799560692,201104,78698.3
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201105,24337,83026,244936,78853.4,56.089513217300649,201105,78853.4
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201106,24620,84018,247941,79178.6,56.794750789329171,201106,79178.6
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201107,24507,84155,248868,79248.9,56.858320353456115,201107,79248.9
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201108,24478,84657,250357,79676.5,57.09926004622654,201108,79676.5
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201109,24422,84803,250741,79947.5,57.087226958718006,201109,79947.5
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201110,24233,84672,250320,80136.4,56.852627084932394,201110,80136.4
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201111,24016,84013,249888,80291,56.444314013898989,201111,80291
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201112,23953,84137,250521,80584.5,56.441568776538418,201112,80584.5
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201201,23830,83968,249689,80830.6,56.227368512672079,201201,80830.6
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201202,24081,84916,251553,81564.5,56.793830013975921,201202,81564.5
MSA,19804,"Detroit-Dearborn-Livonia, MI",All Property Types,201203,24585,86270,254104,82276.6,57.684461748364548,201203,82276.6
