Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A04001_001,SE_A04001_002,SE_A04001_003,SE_A04001_004,SE_A04001_005,SE_A04001_006,SE_A04001_007,SE_A04001_008,SE_A04001_009,SE_A04001_010,SE_A04001_011,SE_A04001_012,SE_A04001_013,SE_A04001_014,SE_A04001_015,SE_A04001_016,SE_A04001_017,SE_A14006_001,SE_A10060_001,SE_A10060_002,SE_A10060_003
26055550900,14000US26055550900,Census Tract 5509,"Census Tract 5509, Grand Traverse County, Michigan",mi,140,0,ACSSF,4279,,,,,26,55,,,,550900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4903,4903,4594,13,0,34,0,0,262,0,0,0,0,0,0,0,0,102440,2209,1902,307
26055551000,14000US26055551000,Census Tract 5510,"Census Tract 5510, Grand Traverse County, Michigan",mi,140,0,ACSSF,4280,,,,,26,55,,,,551000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4312,4212,4124,28,7,20,0,0,33,100,100,0,0,0,0,0,0,75450,1839,1352,487
26055551100,14000US26055551100,Census Tract 5511,"Census Tract 5511, Grand Traverse County, Michigan",mi,140,0,ACSSF,4281,,,,,26,55,,,,551100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3717,3444,3154,157,15,21,0,0,97,273,174,0,55,0,7,28,9,56992,1626,1271,355
26055551200,14000US26055551200,Census Tract 5512,"Census Tract 5512, Grand Traverse County, Michigan",mi,140,0,ACSSF,4282,,,,,26,55,,,,551200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3259,3176,2875,70,75,17,0,0,139,83,46,0,0,0,0,13,24,48512,1618,786,832
26055551300,14000US26055551300,Census Tract 5513,"Census Tract 5513, Grand Traverse County, Michigan",mi,140,0,ACSSF,4283,,,,,26,55,,,,551300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7791,7342,7103,43,77,0,6,10,103,449,340,0,0,0,0,49,60,38161,3592,1422,2170
26055551400,14000US26055551400,Census Tract 5514,"Census Tract 5514, Grand Traverse County, Michigan",mi,140,0,ACSSF,4284,,,,,26,55,,,,551400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5542,5414,4834,27,190,81,0,0,282,128,114,0,0,0,0,14,0,57491,2285,1316,969
26055551500,14000US26055551500,Census Tract 5515,"Census Tract 5515, Grand Traverse County, Michigan",mi,140,0,ACSSF,4285,,,,,26,55,,,,551500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3093,3022,2935,2,0,22,3,0,60,71,63,0,0,0,0,0,8,73281,1360,968,392
26055990000,14000US26055990000,Census Tract 9900,"Census Tract 9900, Grand Traverse County, Michigan",mi,140,0,ACSSF,4286,,,,,26,55,,,,990000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
26057000100,14000US26057000100,Census Tract 1,"Census Tract 1, Gratiot County, Michigan",mi,140,0,ACSSF,4287,,,,,26,57,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3858,3684,3573,0,3,0,0,0,108,174,151,0,4,0,0,5,14,53817,1606,1390,216
26057000200,14000US26057000200,Census Tract 2,"Census Tract 2, Gratiot County, Michigan",mi,140,0,ACSSF,4288,,,,,26,57,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4898,4637,4502,22,25,22,0,0,66,261,220,2,0,0,0,29,10,56633,2052,1755,297
26057000300,14000US26057000300,Census Tract 3,"Census Tract 3, Gratiot County, Michigan",mi,140,0,ACSSF,4289,,,,,26,57,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4206,3761,3665,35,8,13,16,0,24,445,431,0,0,0,0,6,8,41786,1680,1144,536
26057000400,14000US26057000400,Census Tract 4,"Census Tract 4, Gratiot County, Michigan",mi,140,0,ACSSF,4290,,,,,26,57,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3748,3546,1508,1803,21,44,0,0,170,202,101,19,9,0,0,0,73,,0,0,0
26057000500,14000US26057000500,Census Tract 5,"Census Tract 5, Gratiot County, Michigan",mi,140,0,ACSSF,4291,,,,,26,57,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5199,4856,4699,67,10,14,0,0,66,343,297,0,46,0,0,0,0,32290,2066,1052,1014
